word,has_dialect_features,power_domain_relevance,notes
咋个上个月,1,0,
真呢,1,0,
车给有,1,0,
等哈,1,0,
明天给有,1,0,
好呢,1,0,
早说嘛,1,0,
着戳,1,1,
着电,1,1,
冇交,1,1,
小区给有,1,0,
是呢没,1,0,
我家呢,1,0,
给有操作,1,0,
给有需耍,1,0,
负荷咋个,1,1,
给有看看,1,0,
停电哈,1,1,
你咋个,1,0,
给有结果,1,0,
小组给有,1,0,
咋个一点,1,0,
挨我家,1,0,
咋整,1,0,
事情给有,1,0,
鬼火,1,0,
给有,1,0,
线路老火,1,1,
整烂咋个,1,0,
给有哪个,1,0,
现在给有,1,0,
不鬼火,1,0,
挨我们,1,0,
这边给有,1,0,
土坡给有,1,0,
冇住,1,0,
咋个,1,0,
就咋个,1,0,
是呢,1,0,
那咋整,1,0,
给有停电,1,1,
给有什么,1,0,
老火,1,0,
一下给有,1,0,
不来电呢,1,1,
说咋个,1,0,
